feature_set,train_frac,split,n_train,n_test,model,roc_auc,avg_precision,tuning_score,tuning_scoring,precision_at_20,precision_at_50,precision_at_100
baseline_full,0.9,11,812,91,ensemble,0.7125850340136055,0.560219963253409,,,0.25,0.1,0.07692307692307693
baseline_full,0.9,12,812,91,logreg,0.4659863945578231,0.13831308138944237,,,0.05,0.06,0.07692307692307693
baseline_full,0.9,12,812,91,rf,0.5935374149659864,0.14287082649151617,,,0.15,0.08,0.07692307692307693
baseline_full,0.9,12,812,91,xgb,0.5952380952380952,0.11640790006290856,,,0.15,0.08,0.07692307692307693
baseline_full,0.9,12,812,91,ensemble,0.46938775510204084,0.10798494585069456,,,0.05,0.06,0.07692307692307693
baseline_full,0.9,13,812,91,logreg,0.869047619047619,0.5607376283846872,,,0.3,0.12,0.07692307692307693
baseline_full,0.9,13,812,91,rf,0.8860544217687074,0.8059064223447785,,,0.3,0.12,0.07692307692307693
baseline_full,0.9,13,812,91,xgb,0.8537414965986394,0.7573498964803314,,,0.25,0.12,0.07692307692307693
baseline_full,0.9,13,812,91,ensemble,0.8741496598639455,0.799047619047619,,,0.3,0.12,0.07692307692307693
baseline_full,0.9,14,812,91,logreg,0.8401360544217688,0.4724723222622382,,,0.3,0.12,0.07692307692307693
baseline_full,0.9,14,812,91,rf,0.9370748299319728,0.5736892736892736,,,0.3,0.14,0.07692307692307693
baseline_full,0.9,14,812,91,xgb,0.8996598639455783,0.6104010025062656,,,0.3,0.12,0.07692307692307693
baseline_full,0.9,14,812,91,ensemble,0.8775510204081632,0.5778011204481792,,,0.3,0.12,0.07692307692307693
baseline_full,0.9,15,812,91,logreg,0.7755102040816326,0.3596458148476782,,,0.2,0.12,0.07692307692307693
baseline_full,0.9,15,812,91,rf,0.9379251700680273,0.6383928571428572,,,0.3,0.14,0.07692307692307693
baseline_full,0.9,15,812,91,xgb,0.7108843537414966,0.39443952997176385,,,0.15,0.12,0.07692307692307693
baseline_full,0.9,15,812,91,ensemble,0.8418367346938775,0.481398241981766,,,0.25,0.12,0.07692307692307693
baseline_full,0.9,16,812,91,logreg,0.6904761904761905,0.15551068397027495,,,0.15,0.1,0.07692307692307693
baseline_full,0.9,16,812,91,rf,0.8290816326530612,0.45421205778348633,,,0.3,0.12,0.07692307692307693
baseline_full,0.9,16,812,91,xgb,0.8163265306122449,0.3544528817801593,,,0.25,0.14,0.07692307692307693
baseline_full,0.9,16,812,91,ensemble,0.7619047619047619,0.3405233930589937,,,0.2,0.12,0.07692307692307693
baseline_full,0.9,17,812,91,logreg,0.8146258503401361,0.5648474812858374,,,0.2,0.12,0.07692307692307693
baseline_full,0.9,17,812,91,rf,0.8732993197278912,0.6096416810702525,,,0.25,0.12,0.07692307692307693
baseline_full,0.9,17,812,91,xgb,0.7993197278911565,0.5770424836601307,,,0.25,0.12,0.07692307692307693
baseline_full,0.9,17,812,91,ensemble,0.8214285714285714,0.564811206503753,,,0.25,0.12,0.07692307692307693
baseline_full,0.9,18,812,91,logreg,0.7959183673469388,0.5605566126431188,,,0.25,0.12,0.07692307692307693
baseline_full,0.9,18,812,91,rf,0.9472789115646258,0.8277777777777777,,,0.3,0.14,0.07692307692307693
baseline_full,0.9,18,812,91,xgb,0.8639455782312926,0.7305153707052441,,,0.3,0.12,0.07692307692307693
baseline_full,0.9,18,812,91,ensemble,0.9166666666666667,0.7477891156462584,,,0.3,0.14,0.07692307692307693
baseline_full,0.9,19,812,91,logreg,0.9098639455782314,0.7371358799930228,,,0.3,0.14,0.07692307692307693
baseline_full,0.9,19,812,91,rf,0.9022108843537414,0.7311928545002906,,,0.3,0.12,0.07692307692307693
baseline_full,0.9,19,812,91,xgb,0.9132653061224489,0.7063725490196078,,,0.3,0.14,0.07692307692307693
baseline_full,0.9,19,812,91,ensemble,0.9285714285714286,0.7910216718266254,,,0.3,0.14,0.07692307692307693
baseline_full,0.9,20,812,91,logreg,0.8690476190476191,0.49271541950113373,,,0.25,0.14,0.07692307692307693
baseline_full,0.9,20,812,91,rf,0.9149659863945578,0.6732558139534883,,,0.3,0.14,0.07692307692307693
baseline_full,0.9,20,812,91,xgb,0.8061224489795917,0.6516145260765058,,,0.25,0.12,0.07692307692307693
baseline_full,0.9,20,812,91,ensemble,0.903061224489796,0.7216219821261838,,,0.3,0.14,0.07692307692307693
